Time (s),Packet Size (Bytes),Cumulative Volume (Bytes)
0.0,74,74
0.000581,74,148
0.000629,66,214
0.001686,1514,1728
0.001694,1514,3242
0.001695,402,3644
0.001852,66,3710
0.004208,4162,7872
0.004245,66,7938
0.004676,3574,11512
0.004707,66,11578
0.007725,146,11724
0.00782,497,12221
0.00799,145,12366
0.008018,145,12511
0.008094,66,12577
0.010266,103,12680
0.010305,97,12777
0.010354,66,12843
0.011409,97,12940
0.013885,543,13483
0.016828,270,13753
0.019767,272,14025
0.022273,515,14540
0.024129,404,14944
0.025773,204,15148
0.027376,231,15379
0.028404,209,15588
0.029853,207,15795
0.030759,214,16009
0.031653,105,16114
0.031653,99,16213
0.031733,66,16279
0.032639,481,16760
0.033646,509,17269
0.076644,66,17335
0.242339,1474,18809
0.251181,1020,19829
0.251217,66,19895
0.255375,393,20288
0.256599,100,20388
0.300573,66,20454
