Time (s),Packet Size (Bytes),Cumulative Volume (Bytes)
0.0,74,74
0.000361,74,148
0.000379,66,214
0.000407,90,304
0.000419,93,397
0.000474,424,821
0.0006,66,887
0.0006,66,953
0.000621,66,1019
0.000993,81,1100
0.000997,66,1166
0.001032,75,1241
0.001137,75,1316
0.004218,211,1527
0.004239,376,1903
0.004252,66,1969
0.006186,193,2162
0.006241,121,2283
0.006343,66,2349
0.008804,97,2446
0.008804,219,2665
0.008835,66,2731
0.010739,196,2927
0.010761,363,3290
0.010869,66,3356
0.012446,85,3441
0.012446,363,3804
0.012474,66,3870
0.013524,182,4052
0.014773,84,4136
0.014773,191,4327
0.014794,66,4393
0.015306,187,4580
0.016665,84,4664
0.016666,167,4831
0.016689,66,4897
0.017122,192,5089
0.017694,83,5172
0.01773,77,5249
0.01774,66,5315
0.018166,153,5468
0.018183,372,5840
0.018283,66,5906
0.018819,181,6087
0.01884,372,6459
0.018854,66,6525
0.226113,274,6799
0.226138,1244,8043
0.226403,66,8109
0.234595,191,8300
0.234595,851,9151
0.234656,66,9217
0.23822,149,9366
0.238242,287,9653
0.238428,66,9719
0.239085,78,9797
0.279818,66,9863
