Time (s),Packet Size (Bytes),Cumulative Volume (Bytes)
0.0,74,74
0.000417,74,148
0.00043,66,214
0.025782,472,686
0.026589,66,752
0.028733,1529,2281
0.028746,66,2347
0.028981,72,2419
0.029193,140,2559
0.02942,66,2625
0.029472,321,2946
0.029545,321,3267
0.029582,103,3370
0.02984,112,3482
0.029855,115,3597
0.029896,353,3950
0.029935,234,4184
0.030035,66,4250
0.030072,97,4347
0.032702,233,4580
0.032724,398,4978
0.032752,66,5044
0.035,215,5259
0.035057,143,5402
0.035158,66,5468
0.037468,119,5587
0.037468,241,5828
0.037522,66,5894
0.040126,218,6112
0.040153,385,6497
0.040278,66,6563
0.041463,107,6670
0.041484,385,7055
0.041521,66,7121
0.043077,204,7325
0.044532,106,7431
0.044532,213,7644
0.044589,66,7710
0.045177,209,7919
0.046574,106,8025
0.046597,189,8214
0.046631,66,8280
0.047262,214,8494
0.04807,105,8599
0.048098,99,8698
0.04813,66,8764
0.048641,175,8939
0.04866,394,9333
0.048787,66,9399
0.049417,203,9602
0.049452,394,9996
0.049474,66,10062
0.256271,297,10359
0.256301,1266,11625
0.256651,66,11691
0.26371,212,11903
0.26371,873,12776
0.263833,66,12842
0.267933,171,13013
0.267961,309,13322
0.268251,66,13388
0.269033,100,13488
0.31014,66,13554
