Time (s),Packet Size (Bytes),Cumulative Volume (Bytes)
0.0,74,74
0.000405,74,148
0.000442,66,214
0.00063,1503,1717
0.000826,66,1783
0.001662,4162,5945
0.001662,7306,13251
0.001662,1006,14257
0.001701,66,14323
0.001712,66,14389
0.001716,66,14455
0.003107,3479,17934
0.003134,66,18000
0.003411,146,18146
0.003495,497,18643
0.003688,145,18788
0.003706,145,18933
0.003767,66,18999
0.00606,103,19102
0.006103,97,19199
0.006138,66,19265
0.006474,97,19362
0.008413,543,19905
0.011015,270,20175
0.013861,272,20447
0.016207,515,20962
0.018115,404,21366
0.019682,204,21570
0.021327,231,21801
0.022151,209,22010
0.02366,207,22217
0.024422,214,22431
0.025378,116,22547
0.026119,481,23028
0.027098,509,23537
0.070634,66,23603
0.235889,1475,25078
0.243685,998,26076
0.243752,66,26142
0.247967,392,26534
0.249442,100,26634
0.290608,66,26700
