Time (s),Packet Size (Bytes),Cumulative Volume (Bytes)
0.0,74,74
0.000435,74,148
0.000473,66,214
0.00085,1514,1728
0.000852,159,1887
0.001103,66,1953
0.002015,1379,3332
0.002236,66,3398
0.002496,130,3528
0.002558,497,4025
0.002874,305,4330
0.00438,112,4442
0.004421,66,4508
0.004782,97,4605
0.006685,543,5148
0.010001,215,5363
0.010039,143,5506
0.010178,66,5572
0.0127,272,5844
0.016566,515,6359
0.018382,404,6763
0.020518,204,6967
0.022203,231,7198
0.023383,209,7407
0.024817,207,7614
0.02598,214,7828
0.026743,105,7933
0.026778,99,8032
0.026798,66,8098
0.027617,481,8579
0.028513,509,9088
0.071845,66,9154
0.240603,1475,10629
0.248499,1020,11649
0.248568,66,11715
0.253533,393,12108
0.255167,100,12208
0.29586,66,12274
