Time 1-10.45.14.48-10.100.1.205 Aggregate-Flow
0.000000 0.000487 0.000487
0.010000 0.000446 0.000446
0.020000 0.000445 0.000445
0.030000 0.000454 0.000454
0.040000 0.000445 0.000445
0.050000 0.000443 0.000443
0.060000 0.000480 0.000480
0.070000 0.000484 0.000484
0.080000 0.000468 0.000468
0.090000 0.000466 0.000466
0.100000 0.000469 0.000469
0.110000 0.000482 0.000482
0.120000 0.000472 0.000472
0.130000 0.000451 0.000451
0.140000 0.000455 0.000455
0.150000 0.000462 0.000462
0.160000 0.000449 0.000449
0.170000 0.000444 0.000444
0.180000 0.000444 0.000444
0.190000 0.000437 0.000437
0.200000 0.000457 0.000457
0.210000 0.000448 0.000448
0.220000 0.000440 0.000440
0.230000 0.000454 0.000454
0.240000 0.000441 0.000441
0.250000 0.000450 0.000450
0.260000 0.000419 0.000419
0.270000 0.000466 0.000466
0.280000 0.000444 0.000444
0.290000 0.000420 0.000420
0.300000 0.000426 0.000426
0.310000 0.000417 0.000417
0.320000 0.000420 0.000420
0.330000 0.000422 0.000422
0.340000 0.000422 0.000422
0.350000 0.000416 0.000416
0.360000 0.000425 0.000425
0.370000 0.000413 0.000413
0.380000 0.000431 0.000431
0.390000 0.000420 0.000420
0.400000 0.000420 0.000420
0.410000 0.000421 0.000421
0.420000 0.000418 0.000418
0.430000 0.000428 0.000428
0.440000 0.000426 0.000426
0.450000 0.000422 0.000422
0.460000 0.000427 0.000427
0.470000 0.000447 0.000447
0.480000 0.000405 0.000405
0.490000 0.000384 0.000384
0.500000 0.000395 0.000395
0.510000 0.000404 0.000404
0.520000 0.000404 0.000404
0.530000 0.000418 0.000418
0.540000 0.000432 0.000432
0.550000 0.000432 0.000432
0.560000 0.000434 0.000434
0.570000 0.000427 0.000427
0.580000 0.000432 0.000432
0.590000 0.000425 0.000425
0.600000 0.000423 0.000423
0.610000 0.000430 0.000430
0.620000 0.000416 0.000416
0.630000 0.000443 0.000443
0.640000 0.000424 0.000424
0.650000 0.000437 0.000437
0.660000 0.000432 0.000432
0.670000 0.000426 0.000426
0.680000 0.000435 0.000435
0.690000 0.000429 0.000429
0.700000 0.000447 0.000447
0.710000 0.000434 0.000434
0.720000 0.000434 0.000434
0.730000 0.000431 0.000431
0.740000 0.000459 0.000459
0.750000 0.000441 0.000441
0.760000 0.000457 0.000457
0.770000 0.000451 0.000451
0.780000 0.000442 0.000442
0.790000 0.000447 0.000447
0.800000 0.000443 0.000443
0.810000 0.000443 0.000443
0.820000 0.000451 0.000451
0.830000 0.000448 0.000448
0.840000 0.000456 0.000456
0.850000 0.000444 0.000444
0.860000 0.000467 0.000467
0.870000 0.000452 0.000452
0.880000 0.000443 0.000443
0.890000 0.000450 0.000450
0.900000 0.000436 0.000436
0.910000 0.000440 0.000440
0.920000 0.000450 0.000450
0.930000 0.000455 0.000455
0.940000 0.000459 0.000459
0.950000 0.000436 0.000436
0.960000 0.000439 0.000439
0.970000 0.000468 0.000468
0.980000 0.000469 0.000469
0.990000 0.000421 0.000421
1.000000 0.000458 0.000458
1.010000 0.000437 0.000437
1.020000 0.000428 0.000428
1.030000 0.000425 0.000425
1.040000 0.000444 0.000444
1.050000 0.000434 0.000434
1.060000 0.000431 0.000431
1.070000 0.000429 0.000429
1.080000 0.000427 0.000427
1.090000 0.000420 0.000420
1.100000 0.000421 0.000421
1.110000 0.000418 0.000418
1.120000 0.000425 0.000425
1.130000 0.000414 0.000414
1.140000 0.000419 0.000419
1.150000 0.000421 0.000421
1.160000 0.000432 0.000432
1.170000 0.000431 0.000431
1.180000 0.000426 0.000426
1.190000 0.000432 0.000432
1.200000 0.000439 0.000439
1.210000 0.000427 0.000427
1.220000 0.000441 0.000441
1.230000 0.000427 0.000427
1.240000 0.000433 0.000433
1.250000 0.000432 0.000432
1.260000 0.000436 0.000436
1.270000 0.000431 0.000431
1.280000 0.000426 0.000426
1.290000 0.000440 0.000440
1.300000 0.000428 0.000428
1.310000 0.000435 0.000435
1.320000 0.000434 0.000434
1.330000 0.000435 0.000435
1.340000 0.000423 0.000423
1.350000 0.000434 0.000434
1.360000 0.000428 0.000428
1.370000 0.000431 0.000431
1.380000 0.000439 0.000439
1.390000 0.000428 0.000428
1.400000 0.000437 0.000437
1.410000 0.000418 0.000418
1.420000 0.000434 0.000434
1.430000 0.000421 0.000421
