Time 1-10.45.14.48-10.100.1.205 Aggregate-Flow
0.000000 0.000128 0.000128
0.010000 0.000106 0.000106
0.020000 0.000102 0.000102
0.030000 0.000110 0.000110
0.040000 0.000108 0.000108
0.050000 0.000106 0.000106
0.060000 0.000105 0.000105
0.070000 0.000117 0.000117
0.080000 0.000126 0.000126
0.090000 0.000122 0.000122
0.100000 0.000120 0.000120
0.110000 0.000119 0.000119
0.120000 0.000113 0.000113
0.130000 0.000114 0.000114
0.140000 0.000112 0.000112
0.150000 0.000115 0.000115
0.160000 0.000120 0.000120
0.170000 0.000119 0.000119
0.180000 0.000116 0.000116
0.190000 0.000119 0.000119
0.200000 0.000113 0.000113
0.210000 0.000117 0.000117
0.220000 0.000113 0.000113
0.230000 0.000114 0.000114
0.240000 0.000116 0.000116
0.250000 0.000112 0.000112
0.260000 0.000119 0.000119
0.270000 0.000113 0.000113
0.280000 0.000121 0.000121
0.290000 0.000116 0.000116
0.300000 0.000115 0.000115
0.310000 0.000118 0.000118
0.320000 0.000113 0.000113
0.330000 0.000112 0.000112
0.340000 0.000112 0.000112
0.350000 0.000115 0.000115
0.360000 0.000114 0.000114
0.370000 0.000122 0.000122
0.380000 0.000122 0.000122
0.390000 0.000116 0.000116
0.400000 0.000119 0.000119
0.410000 0.000123 0.000123
0.420000 0.000130 0.000130
0.430000 0.000131 0.000131
0.440000 0.000124 0.000124
0.450000 0.000129 0.000129
0.460000 0.000126 0.000126
0.470000 0.000136 0.000136
0.480000 0.000128 0.000128
0.490000 0.000135 0.000135
0.500000 0.000130 0.000130
0.510000 0.000127 0.000127
0.520000 0.000126 0.000126
0.530000 0.000132 0.000132
0.540000 0.000136 0.000136
0.550000 0.000140 0.000140
0.560000 0.000129 0.000129
0.570000 0.000130 0.000130
0.580000 0.000130 0.000130
0.590000 0.000131 0.000131
0.600000 0.000132 0.000132
0.610000 0.000128 0.000128
0.620000 0.000125 0.000125
0.630000 0.000130 0.000130
0.640000 0.000124 0.000124
0.650000 0.000132 0.000132
