Time 1-10.45.14.48-10.100.1.205 Aggregate-Flow
0.000000 0.000466 0.000466
0.010000 0.000398 0.000398
0.020000 0.000387 0.000387
0.030000 0.000408 0.000408
0.040000 0.000387 0.000387
0.050000 0.000393 0.000393
0.060000 0.000403 0.000403
0.070000 0.000402 0.000402
0.080000 0.000394 0.000394
0.090000 0.000383 0.000383
0.100000 0.000441 0.000441
0.110000 0.000409 0.000409
0.120000 0.000406 0.000406
0.130000 0.000417 0.000417
0.140000 0.000404 0.000404
0.150000 0.000411 0.000411
0.160000 0.000405 0.000405
0.170000 0.000402 0.000402
0.180000 0.000396 0.000396
0.190000 0.000383 0.000383
0.200000 0.000410 0.000410
0.210000 0.000410 0.000410
0.220000 0.000412 0.000412
0.230000 0.000413 0.000413
0.240000 0.000400 0.000400
0.250000 0.000410 0.000410
0.260000 0.000424 0.000424
0.270000 0.000412 0.000412
0.280000 0.000425 0.000425
0.290000 0.000456 0.000456
0.300000 0.000434 0.000434
0.310000 0.000422 0.000422
0.320000 0.000404 0.000404
0.330000 0.000402 0.000402
0.340000 0.000389 0.000389
0.350000 0.000411 0.000411
0.360000 0.000398 0.000398
0.370000 0.000401 0.000401
0.380000 0.000402 0.000402
0.390000 0.000390 0.000390
0.400000 0.000402 0.000402
0.410000 0.000402 0.000402
0.420000 0.000407 0.000407
0.430000 0.000407 0.000407
0.440000 0.000405 0.000405
0.450000 0.000408 0.000408
0.460000 0.000400 0.000400
0.470000 0.000403 0.000403
0.480000 0.000401 0.000401
0.490000 0.000396 0.000396
0.500000 0.000433 0.000433
0.510000 0.000416 0.000416
0.520000 0.000409 0.000409
0.530000 0.000427 0.000427
0.540000 0.000424 0.000424
0.550000 0.000438 0.000438
0.560000 0.000417 0.000417
0.570000 0.000429 0.000429
0.580000 0.000416 0.000416
0.590000 0.000413 0.000413
0.600000 0.000416 0.000416
0.610000 0.000412 0.000412
0.620000 0.000411 0.000411
0.630000 0.000426 0.000426
0.640000 0.000429 0.000429
0.650000 0.000440 0.000440
0.660000 0.000420 0.000420
0.670000 0.000437 0.000437
0.680000 0.000429 0.000429
0.690000 0.000412 0.000412
0.700000 0.000401 0.000401
0.710000 0.000397 0.000397
0.720000 0.000396 0.000396
0.730000 0.000402 0.000402
0.740000 0.000413 0.000413
0.750000 0.000412 0.000412
0.760000 0.000409 0.000409
0.770000 0.000428 0.000428
0.780000 0.000396 0.000396
0.790000 0.000392 0.000392
0.800000 0.000383 0.000383
0.810000 0.000395 0.000395
0.820000 0.000393 0.000393
0.830000 0.000388 0.000388
0.840000 0.000405 0.000405
0.850000 0.000396 0.000396
0.860000 0.000399 0.000399
0.870000 0.000395 0.000395
0.880000 0.000390 0.000390
0.890000 0.000420 0.000420
0.900000 0.000409 0.000409
0.910000 0.000396 0.000396
0.920000 0.000388 0.000388
0.930000 0.000391 0.000391
0.940000 0.000397 0.000397
0.950000 0.000394 0.000394
0.960000 0.000394 0.000394
0.970000 0.000398 0.000398
0.980000 0.000393 0.000393
0.990000 0.000433 0.000433
1.000000 0.000429 0.000429
1.010000 0.000409 0.000409
1.020000 0.000400 0.000400
1.030000 0.000370 0.000370
1.040000 0.000381 0.000381
1.050000 0.000395 0.000395
1.060000 0.000401 0.000401
1.070000 0.000410 0.000410
1.080000 0.000427 0.000427
1.090000 0.000449 0.000449
1.100000 0.000541 0.000541
1.110000 0.000629 0.000629
1.120000 0.000432 0.000432
1.130000 0.000409 0.000409
1.140000 0.000404 0.000404
1.150000 0.000396 0.000396
1.160000 0.000399 0.000399
1.170000 0.000417 0.000417
