Time 1-10.45.1.31-10.100.1.205 Aggregate-Flow
0.000000 0.000136 0.000136
0.100000 0.000132 0.000132
0.200000 0.000139 0.000139
0.300000 0.000138 0.000138
0.400000 0.000132 0.000132
0.500000 0.000134 0.000134
0.600000 0.000147 0.000147
0.700000 0.000142 0.000142
0.800000 0.000139 0.000139
0.900000 0.000131 0.000131
1.000000 0.000143 0.000143
1.100000 0.000143 0.000143
1.200000 0.000142 0.000142
1.300000 0.000152 0.000152
1.400000 0.000148 0.000148
1.500000 0.000142 0.000142
1.600000 0.000134 0.000134
1.700000 0.000131 0.000131
1.800000 0.000139 0.000139
1.900000 0.000152 0.000152
2.000000 0.000145 0.000145
2.100000 0.000143 0.000143
2.200000 0.000116 0.000116
2.300000 0.000136 0.000136
2.400000 0.000117 0.000117
2.500000 0.000118 0.000118
2.600000 0.000129 0.000129
2.700000 0.000146 0.000146
2.800000 0.000143 0.000143
2.900000 0.000143 0.000143
3.000000 0.000131 0.000131
3.100000 0.000131 0.000131
3.200000 0.000129 0.000129
3.300000 0.000128 0.000128
3.400000 0.000130 0.000130
3.500000 0.000129 0.000129
3.600000 0.000129 0.000129
3.700000 0.000130 0.000130
3.800000 0.000142 0.000142
3.900000 0.000127 0.000127
4.000000 0.000122 0.000122
4.100000 0.000148 0.000148
4.200000 0.000131 0.000131
4.300000 0.000118 0.000118
4.400000 0.000115 0.000115
4.500000 0.000109 0.000109
4.600000 0.000117 0.000117
4.700000 0.000113 0.000113
4.800000 0.000111 0.000111
4.900000 0.000126 0.000126
5.000000 0.000135 0.000135
5.100000 0.000132 0.000132
5.200000 0.000120 0.000120
5.300000 0.000133 0.000133
5.400000 0.000112 0.000112
5.500000 0.000123 0.000123
5.600000 0.000120 0.000120
5.700000 0.000123 0.000123
5.800000 0.000127 0.000127
5.900000 0.000143 0.000143
6.000000 0.000141 0.000141
6.100000 0.000140 0.000140
6.200000 0.000139 0.000139
6.300000 0.000132 0.000132
6.400000 0.000113 0.000113
6.500000 0.000112 0.000112
6.600000 0.000116 0.000116
6.700000 0.000117 0.000117
6.800000 0.000126 0.000126
6.900000 0.000115 0.000115
7.000000 0.000146 0.000146
7.100000 0.000101 0.000101
7.200000 0.000097 0.000097
7.300000 0.000111 0.000111
7.400000 0.000100 0.000100
7.500000 0.000099 0.000099
7.600000 0.000111 0.000111
7.700000 0.000115 0.000115
7.800000 0.000117 0.000117
7.900000 0.000117 0.000117
8.000000 0.000118 0.000118
8.100000 0.000125 0.000125
8.200000 0.000115 0.000115
8.300000 0.000123 0.000123
8.400000 0.000132 0.000132
8.500000 0.000138 0.000138
8.600000 0.000132 0.000132
8.700000 0.000132 0.000132
8.800000 0.000141 0.000141
8.900000 0.000140 0.000140
9.000000 0.000139 0.000139
9.100000 0.000139 0.000139
9.200000 0.000137 0.000137
9.300000 0.000142 0.000142
9.400000 0.000145 0.000145
9.500000 0.000144 0.000144
9.600000 0.000143 0.000143
9.700000 0.000139 0.000139
9.800000 0.000135 0.000135
9.900000 0.000136 0.000136
10.000000 0.000141 0.000141
10.100000 0.000132 0.000132
10.200000 0.000140 0.000140
10.300000 0.000136 0.000136
10.400000 0.000099 0.000099
10.500000 0.000091 0.000091
10.600000 0.000091 0.000091
10.700000 0.000106 0.000106
10.800000 0.000119 0.000119
10.900000 0.000146 0.000146
11.000000 0.000134 0.000134
11.100000 0.000130 0.000130
11.200000 0.000133 0.000133
11.300000 0.000141 0.000141
11.400000 0.000135 0.000135
11.500000 0.000100 0.000100
11.600000 0.000100 0.000100
11.700000 0.000100 0.000100
11.800000 0.000100 0.000100
11.900000 0.000114 0.000114
12.000000 0.000143 0.000143
12.100000 0.000149 0.000149
12.200000 0.000141 0.000141
12.300000 0.000151 0.000151
12.400000 0.000131 0.000131
12.500000 0.000144 0.000144
12.600000 0.000134 0.000134
12.700000 0.000130 0.000130
12.800000 0.000144 0.000144
12.900000 0.000138 0.000138
13.000000 0.000138 0.000138
13.100000 0.000138 0.000138
13.200000 0.000142 0.000142
13.300000 0.000134 0.000134
13.400000 0.000116 0.000116
13.500000 0.000146 0.000146
13.600000 0.000121 0.000121
13.700000 0.000141 0.000141
13.800000 0.000126 0.000126
13.900000 0.000114 0.000114
14.000000 0.000127 0.000127
14.100000 0.000131 0.000131
14.200000 0.000122 0.000122
14.300000 0.000139 0.000139
14.400000 0.000130 0.000130
14.500000 0.000135 0.000135
14.600000 0.000130 0.000130
14.700000 0.000114 0.000114
14.800000 0.000119 0.000119
14.900000 0.000113 0.000113
