Time 1-10.45.1.31-10.100.1.205 Aggregate-Flow
0.000000 0.000530 0.000530
0.100000 0.000522 0.000522
0.200000 0.000490 0.000490
0.300000 0.000505 0.000505
0.400000 0.000505 0.000505
0.500000 0.000516 0.000516
0.600000 0.000538 0.000538
0.700000 0.000617 0.000617
0.800000 0.000561 0.000561
0.900000 0.000542 0.000542
1.000000 0.000533 0.000533
1.100000 0.000531 0.000531
1.200000 0.000565 0.000565
1.300000 0.000553 0.000553
1.400000 0.000539 0.000539
1.500000 0.000546 0.000546
1.600000 0.000504 0.000504
1.700000 0.000570 0.000570
1.800000 0.000698 0.000698
1.900000 0.000527 0.000527
2.000000 0.000557 0.000557
2.100000 0.000577 0.000577
2.200000 0.000546 0.000546
2.300000 0.000557 0.000557
2.400000 0.000561 0.000561
2.500000 0.000544 0.000544
2.600000 0.000537 0.000537
2.700000 0.000565 0.000565
2.800000 0.000589 0.000589
2.900000 0.000601 0.000601
3.000000 0.000584 0.000584
3.100000 0.000602 0.000602
3.200000 0.000598 0.000598
3.300000 0.000580 0.000580
3.400000 0.000581 0.000581
3.500000 0.000554 0.000554
3.600000 0.000552 0.000552
3.700000 0.000554 0.000554
3.800000 0.000532 0.000532
3.900000 0.000538 0.000538
4.000000 0.000508 0.000508
4.100000 0.000557 0.000557
4.200000 0.000513 0.000513
4.300000 0.000488 0.000488
4.400000 0.000496 0.000496
4.500000 0.000491 0.000491
4.600000 0.000499 0.000499
4.700000 0.000499 0.000499
4.800000 0.000527 0.000527
4.900000 0.000494 0.000494
5.000000 0.000495 0.000495
5.100000 0.000523 0.000523
5.200000 0.000531 0.000531
5.300000 0.000555 0.000555
5.400000 0.000531 0.000531
5.500000 0.000503 0.000503
5.600000 0.000505 0.000505
5.700000 0.000604 0.000604
5.800000 0.000556 0.000556
5.900000 0.000547 0.000547
6.000000 0.000558 0.000558
6.100000 0.000526 0.000526
6.200000 0.000573 0.000573
6.300000 0.000577 0.000577
6.400000 0.000523 0.000523
6.500000 0.000517 0.000517
6.600000 0.000534 0.000534
6.700000 0.000507 0.000507
6.800000 0.000519 0.000519
6.900000 0.000540 0.000540
7.000000 0.000533 0.000533
7.100000 0.000497 0.000497
7.200000 0.000480 0.000480
7.300000 0.000472 0.000472
7.400000 0.000478 0.000478
7.500000 0.000497 0.000497
7.600000 0.000507 0.000507
7.700000 0.000529 0.000529
7.800000 0.000548 0.000548
7.900000 0.000525 0.000525
8.000000 0.000463 0.000463
8.100000 0.000496 0.000496
8.200000 0.000543 0.000543
8.300000 0.000530 0.000530
8.400000 0.000555 0.000555
8.500000 0.000571 0.000571
8.600000 0.000542 0.000542
8.700000 0.000549 0.000549
8.800000 0.000552 0.000552
8.900000 0.000526 0.000526
9.000000 0.000558 0.000558
9.100000 0.000505 0.000505
9.200000 0.000511 0.000511
9.300000 0.000516 0.000516
9.400000 0.000554 0.000554
9.500000 0.000529 0.000529
9.600000 0.000530 0.000530
9.700000 0.000533 0.000533
9.800000 0.000528 0.000528
9.900000 0.000539 0.000539
10.000000 0.000510 0.000510
10.100000 0.000512 0.000512
10.200000 0.000586 0.000586
10.300000 0.000592 0.000592
10.400000 0.000587 0.000587
10.500000 0.000568 0.000568
10.600000 0.000515 0.000515
10.700000 0.000578 0.000578
10.800000 0.000574 0.000574
10.900000 0.000506 0.000506
11.000000 0.000503 0.000503
11.100000 0.000505 0.000505
11.200000 0.000477 0.000477
11.300000 0.000466 0.000466
11.400000 0.000501 0.000501
11.500000 0.000498 0.000498
11.600000 0.000479 0.000479
11.700000 0.000485 0.000485
11.800000 0.000546 0.000546
11.900000 0.000482 0.000482
12.000000 0.000544 0.000544
12.100000 0.000566 0.000566
12.200000 0.000530 0.000530
12.300000 0.000550 0.000550
12.400000 0.000532 0.000532
12.500000 0.000522 0.000522
12.600000 0.000577 0.000577
12.700000 0.000548 0.000548
12.800000 0.000560 0.000560
12.900000 0.000554 0.000554
13.000000 0.000562 0.000562
13.100000 0.000547 0.000547
13.200000 0.000517 0.000517
13.300000 0.000505 0.000505
13.400000 0.000493 0.000493
13.500000 0.000524 0.000524
13.600000 0.000498 0.000498
13.700000 0.000489 0.000489
13.800000 0.000501 0.000501
13.900000 0.000504 0.000504
14.000000 0.000537 0.000537
14.100000 0.000514 0.000514
14.200000 0.000552 0.000552
14.300000 0.000611 0.000611
14.400000 0.000603 0.000603
14.500000 0.000552 0.000552
14.600000 0.000517 0.000517
14.700000 0.000486 0.000486
14.800000 0.000492 0.000492
14.900000 0.000490 0.000490
